time, event                       , event_type  , process, device, ready_queue      , wait_queue  , cpus  , ios
   0, 1 added to ready queue      , enqueue     ,       1,       , ['1']            , []          , [None], [None]
   0, 2 added to ready queue      , enqueue     ,       2,       , "['1', '2']"     , []          , [None], [None]
   0, 3 added to ready queue      , enqueue     ,       3,       , "['1', '2', '3']", []          , [None], [None]
   0, 1 dispatched to CPU0        , dispatch_cpu,       1, CPU0  , "['2', '3']"     , []          , ['1'] , [None]
   3, 1 finished CPU → wait queue , cpu_to_io   ,       1, CPU0  , "['2', '3']"     , ['1']       , [None], [None]
   3, 2 dispatched to CPU0        , dispatch_cpu,       2, CPU0  , ['3']            , ['1']       , ['2'] , [None]
   3, 1 dispatched to IO0         , dispatch_io ,       1, IO0   , ['3']            , []          , ['2'] , ['1']
   6, 2 finished CPU → ready queue, cpu_to_ready,       2, CPU0  , "['3', '2']"     , []          , [None], ['1']
   6, 3 dispatched to CPU0        , dispatch_cpu,       3, CPU0  , ['2']            , []          , ['3'] , ['1']
   8, 1 finished I/O → ready queue, io_to_ready ,       1, IO0   , "['2', '1']"     , []          , ['3'] , [None]
  16, 3 finished CPU → ready queue, cpu_to_ready,       3, CPU0  , "['2', '1', '3']", []          , [None], [None]
  16, 2 dispatched to CPU0        , dispatch_cpu,       2, CPU0  , "['1', '3']"     , []          , ['2'] , [None]
  
  23, 2 finished CPU → wait queue , cpu_to_io   ,       2, CPU0  , "['1', '3']"     , ['2']       , [None], [None]
  23, 1 dispatched to CPU0        , dispatch_cpu,       1, CPU0  , ['3']            , ['2']       , ['1'] , [None]
  23, 2 dispatched to IO0         , dispatch_io ,       2, IO0   , ['3']            , []          , ['1'] , ['2']
  27, 1 finished CPU → wait queue , cpu_to_io   ,       1, CPU0  , ['3']            , ['1']       , [None], ['2']
  27, 3 dispatched to CPU0        , dispatch_cpu,       3, CPU0  , []               , ['1']       , ['3'] , ['2']
  31, 3 finished CPU → wait queue , cpu_to_io   ,       3, CPU0  , []               , "['1', '3']", [None], ['2']
  33, 2 finished I/O → ready queue, io_to_ready ,       2, IO0   , ['2']            , "['1', '3']", [None], [None]
  33, 2 dispatched to CPU0        , dispatch_cpu,       2, CPU0  , []               , "['1', '3']", ['2'] , [None]
  33, 1 dispatched to IO0         , dispatch_io ,       1, IO0   , []               , ['3']       , ['2'] , ['1']
  36, 2 finished CPU → wait queue , cpu_to_io   ,       2, CPU0  , []               , "['3', '2']", [None], ['1']
  39, 1 finished I/O → ready queue, io_to_ready ,       1, IO0   , ['1']            , "['3', '2']", [None], [None]
  39, 1 dispatched to CPU0        , dispatch_cpu,       1, CPU0  , []               , "['3', '2']", ['1'] , [None]
  39, 3 dispatched to IO0         , dispatch_io ,       3, IO0   , []               , ['2']       , ['1'] , ['3']
  42, 1 finished CPU → wait queue , cpu_to_io   ,       1, CPU0  , []               , "['2', '1']", [None], ['3']
